股票代码,market_code,code,所属同花顺行业
603459.SH,17,603459,电子-元件-印制电路板
920011.BJ,151,920011,电力设备-电机-电机Ⅲ
920171.BJ,151,920171,计算机-IT服务-IT服务Ⅲ
300209.SZ,33,300209,商贸零售-互联网电商-互联网电商Ⅲ
300058.SZ,33,300058,传媒-文化传媒-广告营销
300475.SZ,33,300475,电子-其他电子-其他电子Ⅲ
301232.SZ,33,301232,电力设备-风电设备-风电零部件
301070.SZ,33,301070,机械设备-通用设备-制冷空调设备
688630.SH,17,688630,机械设备-专用设备-其他专用设备
688655.SH,17,688655,电子-元件-印制电路板
688485.SH,17,688485,环保-环境治理-综合环境治理
300571.SZ,33,300571,通信-通信服务-通信应用增值服务
688693.SH,17,688693,电子-半导体-分立器件
300679.SZ,33,300679,电子-消费电子-消费电子零部件及组装
688112.SH,17,688112,机械设备-通用设备-仪器仪表
920021.BJ,151,920021,传媒-文化传媒-电视广播
300686.SZ,33,300686,电子-消费电子-消费电子零部件及组装
301396.SZ,33,301396,计算机-IT服务-IT服务Ⅲ
300139.SZ,33,300139,有色金属-贵金属-贵金属Ⅲ
301171.SZ,33,301171,传媒-文化传媒-广告营销
688125.SH,17,688125,机械设备-自动化设备-工控设备
688337.SH,17,688337,机械设备-通用设备-仪器仪表
300668.SZ,33,300668,建筑装饰-建筑装饰-工程咨询服务
688392.SH,17,688392,电力设备-电池-锂电专用设备
301018.SZ,33,301018,机械设备-通用设备-制冷空调设备
300085.SZ,33,300085,计算机-软件开发-垂直应用软件
688229.SH,17,688229,计算机-IT服务-IT服务Ⅲ
300790.SZ,33,300790,计算机-计算机设备-安防设备
920207.BJ,151,920207,计算机-软件开发-垂直应用软件
301133.SZ,33,301133,汽车-汽车零部件-车身附件及饰件
688720.SH,17,688720,电子-半导体-半导体材料
300664.SZ,33,300664,环保-环境治理-水务及水治理
688270.SH,17,688270,电子-半导体-模拟芯片设计
300166.SZ,33,300166,计算机-IT服务-IT服务Ⅲ
688813.SH,17,688813,机械设备-专用设备-其他专用设备
300063.SZ,33,300063,传媒-文化传媒-广告营销
300017.SZ,33,300017,计算机-IT服务-IT服务Ⅲ
688683.SH,17,688683,电子-电子化学品-电子化学品Ⅲ
688676.SH,17,688676,电力设备-电网设备-输变电设备
300606.SZ,33,300606,机械设备-通用设备-磨具磨料
301500.SZ,33,301500,环保-环境治理-固废治理
688702.SH,17,688702,电子-半导体-数字芯片设计
301200.SZ,33,301200,机械设备-自动化设备-其他自动化设备
300986.SZ,33,300986,建筑材料-建筑材料-其他建材
300548.SZ,33,300548,通信-通信设备-通信网络设备及器件
688158.SH,17,688158,计算机-IT服务-IT服务Ⅲ
301468.SZ,33,301468,机械设备-专用设备-其他专用设备
688150.SH,17,688150,电子-电子化学品-电子化学品Ⅲ
688343.SH,17,688343,计算机-IT服务-IT服务Ⅲ
688535.SH,17,688535,电子-半导体-半导体材料
688316.SH,17,688316,计算机-IT服务-IT服务Ⅲ
300113.SZ,33,300113,通信-通信服务-通信应用增值服务
688066.SH,17,688066,国防军工-军工装备-航天装备
688396.SH,17,688396,电子-半导体-集成电路制造
300854.SZ,33,300854,环保-环境治理-固废治理
300170.SZ,33,300170,计算机-IT服务-IT服务Ⅲ
301479.SZ,33,301479,电子-光学光电子-光学元件
688603.SH,17,688603,电子-电子化学品-电子化学品Ⅲ
300322.SZ,33,300322,电子-消费电子-消费电子零部件及组装
301099.SZ,33,301099,电子-其他电子-其他电子Ⅲ
301053.SZ,33,301053,机械设备-专用设备-纺织服装设备
300227.SZ,33,300227,机械设备-自动化设备-激光设备
688480.SH,17,688480,环保-环境治理-综合环境治理
688031.SH,17,688031,计算机-软件开发-横向通用软件
920184.BJ,151,920184,计算机-IT服务-IT服务Ⅲ
688818.SH,17,688818,国防军工-军工装备-航天装备
688371.SH,17,688371,电子-电子化学品-电子化学品Ⅲ
300846.SZ,33,300846,通信-通信服务-通信应用增值服务
688365.SH,17,688365,计算机-IT服务-IT服务Ⅲ
300785.SZ,33,300785,传媒-文化传媒-数字媒体
301489.SZ,33,301489,电子-电子化学品-电子化学品Ⅲ
688039.SH,17,688039,计算机-IT服务-IT服务Ⅲ
300364.SZ,33,300364,传媒-文化传媒-数字媒体
301317.SZ,33,301317,机械设备-通用设备-其他通用设备
300738.SZ,33,300738,通信-通信服务-通信应用增值服务
688668.SH,17,688668,通信-通信设备-通信网络设备及器件
688183.SH,17,688183,电子-元件-印制电路板
688258.SH,17,688258,计算机-IT服务-IT服务Ⅲ
300480.SZ,33,300480,机械设备-专用设备-能源及重型设备
