股票代码,market_code,code,涨停原因类别[20260316]
605366.SH,17,605366,有机硅+含硫硅烷+泰国项目+迈图合作
001278.SZ,33,001278,机器人+激光除草机+新能源+汽车零部件
002334.SZ,33,002334,
600599.SH,22,600599,业绩预盈+烟花爆竹+ST板块+退市博弈
002831.SZ,33,002831,机器人+环保包装+全球布局
603789.SH,22,603789,摘帽预期+农机+专用车注入
000638.SZ,33,000638,
300051.SZ,33,300051,HJT电池+钙钛矿电池+定增补流
002235.SZ,33,002235,控制权变更+数据确权+福建
605299.SH,17,605299,足球概念+体育产业+QFII新进
603175.SH,17,603175,PCB+AI算力扩产+存储芯片+特斯拉
002693.SZ,33,002693,扭亏为盈+多肽出口+海南自贸区
601669.SH,17,601669,
002995.SZ,33,002995,AI营销+抖音概念+持股中书艺莲+VR文旅
000890.SZ,33,000890,钢帘线剥离+光纤概念+环保设备
603929.SH,17,603929,IC洁净室+东南亚订单+年报增长
600152.SH,17,600152,定增+消费电子+钠离子电池
600370.SH,17,600370,瓶级聚酯切片+PTA龙头+机器人概念
600355.SH,22,600355,
002636.SZ,33,002636,高频高速CCL+覆铜板扩产+业绩预增
600227.SH,17,600227,甲醇+尿素+化肥+煤炭
000908.SZ,33,000908,重整完成+创新药CDMO+合成生物
600313.SH,17,600313,转基因玉米+化肥涨价+种业龙头+央企
002310.SZ,33,002310,重大资产重组+风光电站+北京国资
603778.SH,17,603778,固态电池+异质结光伏+光伏治沙
002278.SZ,33,002278,深海装备+油服业务+业绩预增+商业航天
002253.SZ,33,002253,军工射频+低空经济+空管系统
603421.SH,17,603421,南网业务恢复+液流储能+智能电网
600302.SH,17,600302,控制权变更预期+缝制设备+国企改革
000488.SZ,33,000488,复工复产+浆纸一体化+山东国资
002427.SZ,33,002427,扭亏为盈+海工装备+陕西国资
002990.SZ,33,002990,人形机器人+智慧口岸+海南封关+智慧交通
300042.SZ,33,300042,存储芯片+算力租赁+韶关国资
600545.SH,17,600545,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销
000668.SZ,33,000668,摘帽预期+房地产去化+跨境物流转型
603813.SH,22,603813,
002931.SZ,33,002931,
600396.SH,17,600396,海上风电+绿电+央企
002789.SZ,33,002789,珠海国资+建筑装饰+储能
002086.SZ,33,002086,预制菜+海参养殖+体外诊断
002980.SZ,33,002980,拟收购伽蓝特+光通信测试+AI眼镜+仪器仪表
000617.SZ,33,000617,跨境支付+能源金融+央企
603248.SH,17,603248,风电齿轮箱+大兆瓦产品
603007.SH,22,603007,
600381.SH,22,600381,退市博弈+高端白酒+中药大健康
000004.SZ,33,000004,
600683.SH,17,600683,拟剥离地产+北京国资+TOD轨道物业
002512.SZ,33,002512,商业航天+卫星通信+显示主板
600892.SH,22,600892,短剧+游戏+唐山国资
002426.SZ,33,002426,复合铜箔+车载显示+机器人结构件
002724.SZ,33,002724,核电+军工照明+专业照明
002529.SZ,33,002529,ST板块+汽车轻量化+光伏组件
000669.SZ,33,000669,重整预期+天然气+ST板块
603986.SH,17,603986,存储芯片涨价+车规MCU+人形机器人
601975.SH,17,601975,油运+MR船队+央企
000533.SZ,33,000533,算力基建+北美出口+干式变压器
002467.SZ,33,002467,云网融合基础设施+商业航天+数据中心+AI数字人
000620.SZ,33,000620,拟收购半导体+存储芯片+文旅地产
300606.SZ,33,300606,芯片抛光液+航空航天+参股中科声龙
603738.SH,17,603738,625MHz晶振+AI算力+光模块
600751.SH,17,600751,航运+贸易+海南自贸港
600667.SH,17,600667,存储芯片+先进封装+SK海力士+国企
603843.SH,22,603843,算力租赁+重整进展+基建转型
000639.SZ,33,000639,玉米油+运动营养+大消费
000020.SZ,33,000020,深圳旧改+物业经营+液晶显示
600289.SH,22,600289,4亿合同+算力概念+ST保壳
002545.SZ,33,002545,
001896.SZ,33,001896,
603557.SH,22,603557,童装童鞋+三胎概念+此前获赠资产+ST板块
603052.SH,17,603052,硅光芯片+光模块+消费电子
