股票代码,涨停原因类别[20260408],code,market_code
002491.SZ,光纤光缆+数据中心+储能消防,002491,33
002716.SZ,银价大涨+湖南国资+全产业链,002716,33
002957.SZ,光模块+半导体设备+精密零部件制造+业绩预增,002957,33
000426.SZ,黄金+银锡主业+增持评级,000426,33
603890.SH,拟收购液冷+人形机器人+AIPC,603890,17
002055.SZ,高速连接器+高压快充+大幅减亏,002055,33
688693.SH,SiC功率器件+拟收购晶艺半导体,688693,17
600666.SH,算力租赁+扭亏为盈+蓝宝石,600666,17
002928.SZ,支线航空+油价回落+业绩预增,002928,33
000638.SZ,,000638,33
600608.SH,,600608,22
000506.SZ,黄金+扭亏+国企,000506,33
002797.SZ,证券+北京国资+期货概念,002797,33
605016.SH,业绩高增+阿洛酮糖+泰国扩产,605016,17
002273.SZ,AI光学+车载光学+北美涂布滤光片,002273,33
605305.SH,风电设备+储能消防+年报预增,605305,17
000818.SZ,,000818,33
601069.SH,一季度预增+黄金采选冶+新疆国资,601069,17
301070.SZ,拟控股威泰思+光通信+HVLS风扇,301070,33
688655.SH,PCB样板+800G光模块+CPO,688655,17
002995.SZ,AI营销+抖音概念+持股中书艺莲+VR文旅,002995,33
300475.SZ,业绩暴增+存储芯片涨价+海普存储量产,300475,33
002353.SZ,燃气轮机+北美数据中心+油气装备,002353,33
605060.SH,燃气轮机+液冷+精密零部件+年报增长,605060,17
600743.SH,物业+轻资产转型+国企,600743,17
603950.SH,复牌+重大资产重组+柴油动力单元+热交换系统,603950,17
002008.SZ,PCB设备+半导体设备+商业航天+东南亚扩产,002008,33
000968.SZ,,000968,33
603619.SH,,603619,17
002713.SZ,算力中心+家装AI+重整完成,002713,33
603757.SH,液冷+储能+算力+泵业龙头,603757,17
600869.SH,光纤+英伟达+中标项目,600869,17
600841.SH,柴油发动机+数据中心+年报扭亏+上海国资,600841,17
002536.SZ,液冷服务器+机器人+汽车热管理,002536,33
002155.SZ,黄金+钨锑涨价+拟资产重组+湖南国资,002155,33
002046.SZ,商业航天+金刚石散热+轴承+央企,002046,33
002342.SZ,商业航天+深海系泊+索具龙头,002342,33
601137.SH,摩洛哥扩产+液冷散热+商业航天+有色合金,601137,17
600115.SH,航空运输+央企+回购注销,600115,17
