code,涨停原因类别[20260415],market_code,股票代码
605366,有机硅+含硫硅烷+泰国项目+转债赎回,17,605366.SH
002575,,33,002575.SZ
603890,消费电子+拟收购液冷+AIPC+人形机器人,17,603890.SH
600599,退市博弈+烟花爆竹+业绩预盈,22,600599.SH
688805,医疗设备+无液氦超导+业绩高增+全球化,17,688805.SH
002569,控制权变更+扭亏预告+男装品牌,33,002569.SZ
600572,创新药+中药大健康+浙江国资,17,600572.SH
603063,电力设备+储能+风电,17,603063.SH
000785,AI应用+智能家居+零售,33,000785.SZ
002051,中东重建+国际工程+算力+一带一路,33,002051.SZ
001270,T/R芯片+商业航天+扭亏为盈+摘帽预期,33,001270.SZ
002580,液冷储能+固态电池+山东国资,33,002580.SZ
000889,算力销售+5G消息+短信通道,33,000889.SZ
002787,半导体+锂电池结构件+金属包装+年报增长,33,002787.SZ
600743,,17,600743.SH
603950,柴油动力单元+重大资产重组+发动机零部件,17,603950.SH
603327,苹果折叠屏+铝结构件+消费电子+国企改革,17,603327.SH
001208,电线电缆+商业航天+机器人+电网设备,33,001208.SZ
605388,益生菌+味动力+扭亏预期,17,605388.SH
603778,,17,603778.SH
002083,,33,002083.SZ
600082,,22,600082.SH
600605,半导体投资+上海房产租赁+战略转型,17,600605.SH
301408,AI医疗+医药零售+创新药,33,301408.SZ
000026,拟收购长空齿轮+中航工业旗下+航空航天表+机器人,33,000026.SZ
000788,创新药+右酮洛芬+帕利哌酮获批,33,000788.SZ
003036,高端纺机+固态电池+纺织机器人,33,003036.SZ
605222,转债有望提前赎回+电线电缆+商业航天+海缆扩产,17,605222.SH
600696,,22,600696.SH
002589,医药流通+创新药,33,002589.SZ
002990,存算一体+人形机器人+智慧口岸,33,002990.SZ
603773,玻璃基板+CPO+商业航天,17,603773.SH
605098,年报增长+高分红+AI教育+职业教育,17,605098.SH
000838,,33,000838.SZ
002891,宠物食品+全球化产能+自主品牌,33,002891.SZ
600488,甾体激素+原料药出口,17,600488.SH
603813,,22,603813.SH
605289,算力+液冷+AR/VR,17,605289.SH
603815,基建+新型城镇化+安徽国资,17,603815.SH
002634,,33,002634.SZ
002227,,33,002227.SZ
002468,一季报预增+快递涨价+经济型快递,33,002468.SZ
002361,商业航天+无人机+聚酯树脂+地方国资,33,002361.SZ
002038,GLP-1+创新药+硝酸甘油喷雾剂,33,002038.SZ
000004,退市风险博弈+算力+移动应用安全,33,000004.SZ
600238,退市风险博弈+保健酒主业+海南国资,22,600238.SH
600664,创新药+保健品+仿制药一致性评价,17,600664.SH
603580,,22,603580.SH
000919,拟收购四药+创新药+南京国资,33,000919.SZ
600683,TOD轨道物业+拟剥离地产+北京国资,17,600683.SH
002124,猪肉+预重整+销量增长,33,002124.SZ
600135,航天系+TAC膜+锂电隔膜,17,600135.SH
600267,创新药+合成生物+浙江国资,17,600267.SH
605081,退市博弈+算力设备+水环境修复,22,605081.SH
603150,钐铁氮+稀土永磁材料+冰箱门封,17,603150.SH
688166,GLP-1+原料药-制剂一体化+港股上市预期,17,688166.SH
600594,阿扎胞苷获批+抗肿瘤药+民营医院,17,600594.SH
002705,泡泡玛特代工+小家电出口+机器人,33,002705.SZ
603629,算力租赁+液冷+英伟达合作+年报预增,17,603629.SH
001299,,33,001299.SZ
002630,ST摘帽预期+储能+高效环保锅炉,33,002630.SZ
600636,,22,600636.SH
002824,消费电子+新能源汽车扩产+电池结构件+业绩预增,33,002824.SZ
002297,一季报业绩预增+商业航天+硬质合金,33,002297.SZ
603459,1.6T光模块+HDI板+商业航天,17,603459.SH
603268,摘帽预期+VLCC订单+船舶制造,22,603268.SH
002033,一季报预增+冰雪旅游+IP经济,33,002033.SZ
600581,此前复牌+特钢+中亚出口+央企,22,600581.SH
603216,芯片概念+高端木作+智能家居,17,603216.SH
688287,军工装备+商业航天+无人机禁毒,22,688287.SH
605365,LED照明+泰国基地+北美订单,17,605365.SH
603021,ST博弈+日用玻璃+轻量化技术,22,603021.SH
603285,锂电材料+环保助剂+产能扩张,17,603285.SH
002498,特高压+柔性直流输电+海上风电,33,002498.SZ
603843,,22,603843.SH
002798,卫浴陶瓷+华为生态+AI布局,33,002798.SZ
301189,AI算力+沐曦合作+消费电子,33,301189.SZ
603698,实控人航天科技+绿氢工程+年报增长,17,603698.SH
001896,参股算力+火电+绿电储备+河南国资,33,001896.SZ
603687,拟投GPU+钙钛矿设备+参股曲速科技+纸包装,17,603687.SH
603444,一季报预增+新游上线+高分红,17,603444.SH
002788,中药饮片+医药分销+海峡两岸,33,002788.SZ
