market_code,股票代码,涨停原因类别[20260427],code
17,603110.SH,算力租赁+PCB油墨+年报披露,603110
17,603657.SH,机器人订单+清洁电器+小米客户,603657
22,600608.SH,,600608
17,688381.SH,机器人芯片+模拟芯片+汽车电子,688381
17,603586.SH,,603586
17,605183.SH,,605183
17,600053.SH,,600053
33,002324.SZ,,002324
33,002731.SZ,,002731
17,603359.SH,,603359
17,600726.SH,一季报增长+绿电转型+热电联产+央企,600726
33,001331.SZ,,001331
17,600422.SH,,600422
33,002977.SZ,,002977
33,003036.SZ,高端纺机+电子布纺织机+固态电池+纺织机器人,003036
17,600302.SH,,600302
33,000593.SZ,实控人变更+燃气+氢能+网红游资持仓,000593
33,002990.SZ,,002990
33,000909.SZ,,000909
17,601567.SH,,601567
33,000838.SZ,江西中久拟入主+房地产+环保+ST摘帽博弈,000838
33,002029.SZ,商旅夹克+投资收益+男装+年报增长,002029
33,000609.SZ,半导体资产注入+房地产+ST博弈,000609
33,002560.SZ,特高压线缆+一季报预增+航空零部件,002560
17,600637.SH,超聚变IPO+AI应用+上海国资,600637
33,002931.SZ,,002931
17,605289.SH,AI算力+液冷服务器+年报扭亏,605289
33,002932.SZ,ST摘帽博弈+拟收购必凯尔+体外诊断+回购,002932
33,002120.SZ,一季报增长+快递物流+反内卷,002120
33,002227.SZ,超充网络+储能微电网+ST保壳,002227
17,603097.SH,,603097
17,603626.SH,机器人+AI结构件+消费电子+储能,603626
17,600750.SH,,600750
22,600381.SH,,600381
17,603211.SH,人形机器人+机器人零部件+年报增长,603211
33,000004.SZ,,000004
33,001211.SZ,金钢瓷放量+竹基禾塑托盘+全竹产业链,001211
17,600433.SH,土地收储补偿+一季报增长+氢能碳纸+央企,600433
22,603828.SH,,603828
33,002620.SZ,,002620
33,002181.SZ,AI应用+世界杯+广州国资,002181
33,000632.SZ,,000632
22,600735.SH,资金占用清偿+复牌+石墨新材料,600735
33,002705.SZ,,002705
33,300582.SZ,一季报增长+LED驱动电源+储能,300582
17,600693.SH,一季报增长+首店经济+仓储物流ABS,600693
33,002175.SZ,智能物流+广西国资拟入主+*ST风险博弈,002175
17,603726.SH,机器人关节模组+先进封装+空调风叶,603726
33,002691.SZ,,002691
22,600636.SH,,600636
33,301500.SZ,一季报暴增+新能源材料+危废资源化,301500
17,600084.SH,,600084
22,603021.SH,,603021
17,605006.SH,玻纤涨价+风电纱+山东国资,605006
17,600815.SH,工程装备+雅鲁藏布江水电+厦门国资,600815
17,603610.SH,脑机接口+智能电动床+适老化补贴,603610
33,002210.SZ,一季度扭亏+固废处理+供应链服务,002210
33,002484.SZ,算力+超级电容器+浙江国资,002484
17,603318.SH,氦气+燃气轮机掺氢+山东国资,603318
33,001332.SZ,一季报大增+10转4派5+可控核聚变,001332
22,600421.SH,,600421
33,002741.SZ,PCB化学品+一季报高增,002741
33,002225.SZ,,002225
33,002569.SZ,控制权变更+扭亏预期+男装品牌+宝鸡国资,002569
17,600736.SH,,600736
17,603284.SH,,603284
17,688221.SH,小核酸+GSK合作+首季盈利,688221
17,600707.SH,玻璃基板+ITC胜诉+国企改革,600707
33,000820.SZ,退市博弈+固废处理+冶金设计,000820
33,000952.SZ,维生素B2+大健康布局+减亏+湖北国资,000952
33,002154.SZ,一季报高增+C2M定制+多品牌矩阵+创投,002154
17,600152.SH,钠电储能+高倍率电池扩产+锂电产业链,600152
17,603095.SH,AI验布机+高端装备+提质增效,603095
17,600246.SH,PCIe5.0芯片+商业航天+科技转型+房地产,600246
33,002787.SZ,,002787
33,002717.SZ,,002717
17,600338.SH,盐湖提锂+业绩高增+资产聚焦,600338
33,002469.SZ,,002469
17,600418.SH,尊界200万新车+华为合作+安徽国资,600418
