code,market_code,股票代码,涨停原因类别[20260317]
001278,33,001278.SZ,
600599,22,600599.SH,业绩预盈+烟花爆竹+退市博弈+ST板块
600643,17,600643.SH,多元金融+上海不动产信托+参股券商
000638,33,000638.SZ,
605167,17,605167.SH,氢模块+核电模块+工业模块
000820,33,000820.SZ,储能中标+固废处理+退市风险
002565,33,002565.SZ,商业航天+增资轨道辰光+环保纸
301667,33,301667.SZ,电池液冷板+数据中心液冷+次新股
000890,33,000890.SZ,钢帘线剥离+光纤概念+环保设备
002150,33,002150.SZ,光伏设备+储能一体机+外销
600691,17,600691.SH,氢能装备+煤化工+山西国资
603929,17,603929.SH,IC洁净室+东南亚订单+年报增长
600370,17,600370.SH,瓶级聚酯切片+PTA龙头+机器人概念
600355,22,600355.SH,
600227,17,600227.SH,甲醇+尿素+化肥+煤炭
000908,33,000908.SZ,重整完成+创新药CDMO+合成生物
600265,22,600265.SH,算力租赁+资产重组+林业
603778,17,603778.SH,固态电池+异质结光伏+光伏治沙
301680,33,301680.SZ,储能+宁德时代+次新股
001369,33,001369.SZ,锂电电解液+聚乙烯醇+电石+光伏PVB膜
001210,33,001210.SZ,
600791,17,600791.SH,地产+北京国资+京津冀
002253,33,002253.SZ,军工射频+低空经济+空管系统
603992,17,603992.SH,人形机器人+康养+转债赎回
002629,33,002629.SZ,油服工程+光伏EPC+改性材料
600408,17,600408.SH,焦炭+煤炭+循环经济
603685,17,603685.SH,算电协同+绿电算力+照明组件
000488,33,000488.SZ,复工复产+浆纸一体化+山东国资
000572,33,000572.SZ,氢能汽车+海南封关+整车出口+氢能政策
600753,22,600753.SH,
688031,17,688031.SH,
688295,17,688295.SH,T1200级碳纤维+全球首发+央企
600545,17,600545.SH,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销
002285,33,002285.SZ,房地产服务+IDC中标+珠海国资
600396,17,600396.SH,氢能+绿电+央企
000042,33,000042.SZ,地产产业链+粤港澳大湾区+项目热销
605255,17,605255.SH,
002470,33,002470.SZ,化肥+磷化工+缓控释肥+国企改革
603248,17,603248.SH,风电齿轮箱+大兆瓦产品
603693,17,603693.SH,海上风电注入+绿色电力+江苏国资
600381,22,600381.SH,退市博弈+高端白酒+中药大健康
301226,33,301226.SZ,人形机器人+商业航天+无框电机
000004,33,000004.SZ,
600683,17,600683.SH,拟剥离地产+北京国资+TOD轨道物业
603580,22,603580.SH,退市博弈+轻型输送带+两岸融合
002256,33,002256.SZ,盐湖提锂+业绩预增+精细化工+光伏
603828,22,603828.SH,
002808,33,002808.SZ,ST板块+OPC感光鼓+新能源转型+退市风险
600569,17,600569.SH,特钢转型+河南国资
600330,17,600330.SH,
000669,33,000669.SZ,其它
002506,33,002506.SZ,光伏设备+TOPCon电池+储能系统
000533,33,000533.SZ,算力基建+北美出口+干式变压器
603398,22,603398.SH,光伏硅片+预重整+退市博弈
600172,17,600172.SH,
600307,17,600307.SH,钢铁+氢能源+可控核聚变+甘肃国资
601016,17,601016.SH,绿电+储能布局+央企
605277,17,605277.SH,高频高速铜缆+液冷服务器+新能源线缆
603843,22,603843.SH,算力租赁+重整进展+基建转型
000020,33,000020.SZ,深圳旧改+液晶显示+物业经营
603387,17,603387.SH,体外诊断+POCT+流感
600289,22,600289.SH,4亿合同+算力概念+ST保壳
600860,17,600860.SH,
002323,33,002323.SZ,光伏建筑一体化+光伏设备+枣庄国资
603127,17,603127.SH,
002637,33,002637.SZ,
603052,17,603052.SH,
