code,market_code,股票代码,所属同花顺行业
920729,151,920729.BJ,农林牧渔-养殖业-动物保健
300017,33,300017.SZ,计算机-IT服务-IT服务Ⅲ
300463,33,300463.SZ,医药生物-医疗器械-体外诊断
300639,33,300639.SZ,医药生物-医疗器械-体外诊断
300871,33,300871.SZ,农林牧渔-养殖业-动物保健
688317,17,688317.SH,医药生物-医疗器械-体外诊断
300139,33,300139.SZ,有色金属-贵金属-贵金属Ⅲ
301548,33,301548.SZ,机械设备-通用设备-金属制品
301207,33,301207.SZ,医药生物-生物制品-疫苗
688158,17,688158.SH,计算机-IT服务-IT服务Ⅲ
688323,17,688323.SH,基础化工-塑料制品-膜材料
688670,17,688670.SH,医药生物-生物制品-疫苗
301636,33,301636.SZ,电力设备-光伏设备-光伏电池组件
300461,33,300461.SZ,机械设备-自动化设备-其他自动化设备
301312,33,301312.SZ,机械设备-自动化设备-工控设备
300482,33,300482.SZ,医药生物-医疗器械-体外诊断
920019,151,920019.BJ,建筑装饰-建筑装饰-专业工程
300209,33,300209.SZ,商贸零售-互联网电商-互联网电商Ⅲ
300837,33,300837.SZ,机械设备-专用设备-能源及重型设备
688028,17,688028.SH,机械设备-通用设备-磨具磨料
300122,33,300122.SZ,医药生物-生物制品-疫苗
300818,33,300818.SZ,机械设备-专用设备-能源及重型设备
301446,33,301446.SZ,机械设备-工程机械-工程机械Ⅲ
300806,33,300806.SZ,基础化工-塑料制品-膜材料
300808,33,300808.SZ,电子-光学光电子-LED
300164,33,300164.SZ,石油石化-油气开采及服务-油服工程
688777,17,688777.SH,机械设备-自动化设备-工控设备
301165,33,301165.SZ,通信-通信设备-通信网络设备及器件
301080,33,301080.SZ,医药生物-生物制品-其他生物制品
920634,151,920634.BJ,有色金属-工业金属-铅锌
688298,17,688298.SH,医药生物-医疗器械-体外诊断
300921,33,300921.SZ,通信-通信服务-通信应用增值服务
688185,17,688185.SH,医药生物-生物制品-疫苗
300142,33,300142.SZ,医药生物-生物制品-疫苗
920575,151,920575.BJ,医药生物-生物制品-疫苗
300113,33,300113.SZ,通信-通信服务-通信应用增值服务
920009,151,920009.BJ,医药生物-医疗器械-体外诊断
300318,33,300318.SZ,医药生物-生物制品-血液制品
300492,33,300492.SZ,社会服务-教育-教育Ⅲ
300945,33,300945.SZ,纺织服饰-服装家纺-饰品
688779,17,688779.SH,电力设备-电池-电池化学品
301377,33,301377.SZ,机械设备-通用设备-金属制品
000629,33,000629.SZ,钢铁-钢铁-冶钢原料
002218,33,002218.SZ,公用事业-电力-新能源发电
000630,33,000630.SZ,有色金属-工业金属-铜
600736,17,600736.SH,房地产-房地产-住宅开发
601226,17,601226.SH,建筑装饰-建筑装饰-专业工程
002030,33,002030.SZ,医药生物-医疗器械-体外诊断
600986,17,600986.SH,传媒-文化传媒-广告营销
601212,17,601212.SH,有色金属-工业金属-铜
000815,33,000815.SZ,通信-通信服务-通信应用增值服务
603132,17,603132.SH,有色金属-工业金属-铅锌
601615,17,601615.SH,电力设备-风电设备-风电整机
002524,33,002524.SZ,医药生物-医疗服务-医院
603331,17,603331.SH,机械设备-通用设备-其他通用设备
600589,17,600589.SH,计算机-IT服务-IT服务Ⅲ
603353,17,603353.SH,石油石化-石油加工贸易-油品石化贸易
002378,33,002378.SZ,有色金属-小金属-钨
002155,33,002155.SZ,有色金属-贵金属-贵金属Ⅲ
603895,17,603895.SH,机械设备-专用设备-其他专用设备
603271,17,603271.SH,有色金属-工业金属-铝
000506,33,000506.SZ,有色金属-贵金属-贵金属Ⅲ
002842,33,002842.SZ,有色金属-小金属-钨
002728,33,002728.SZ,医药生物-中药-中药Ⅲ
600078,17,600078.SH,基础化工-农化制品-磷肥及磷化工
000657,33,000657.SZ,有色金属-小金属-钨
001288,33,001288.SZ,机械设备-专用设备-能源及重型设备
003042,33,003042.SZ,基础化工-农化制品-农药
000426,33,000426.SZ,有色金属-小金属-其他小金属
601869,17,601869.SH,通信-通信设备-通信线缆及配套
002237,33,002237.SZ,有色金属-贵金属-贵金属Ⅲ
002201,33,002201.SZ,建筑材料-建筑材料-玻璃玻纤
001277,33,001277.SZ,机械设备-专用设备-能源及重型设备
600489,17,600489.SH,有色金属-贵金属-贵金属Ⅲ
000603,33,000603.SZ,有色金属-工业金属-铅锌
000593,33,000593.SZ,公用事业-燃气-燃气Ⅲ
600789,17,600789.SH,医药生物-化学制药-化学制剂
603045,17,603045.SH,电力设备-电网设备-输变电设备
600759,17,600759.SH,石油石化-油气开采及服务-油气开采
002667,33,002667.SZ,有色金属-能源金属-锂
002623,33,002623.SZ,电力设备-光伏设备-光伏辅材
601069,17,601069.SH,有色金属-贵金属-贵金属Ⅲ
001337,33,001337.SZ,有色金属-贵金属-贵金属Ⅲ
002995,33,002995.SZ,传媒-文化传媒-广告营销
601168,17,601168.SH,有色金属-工业金属-铜
002165,33,002165.SZ,基础化工-化学制品-聚氨酯
603619,17,603619.SH,石油石化-油气开采及服务-油气开采
603578,17,603578.SH,家用电器-白色家电-家电零部件
601958,17,601958.SH,有色金属-小金属-钼
002009,33,002009.SZ,机械设备-专用设备-其他专用设备
605056,17,605056.SH,机械设备-通用设备-仪器仪表
600916,17,600916.SH,纺织服饰-服装家纺-饰品
600531,17,600531.SH,有色金属-工业金属-铅锌
002716,33,002716.SZ,有色金属-贵金属-贵金属Ⅲ
600173,17,600173.SH,房地产-房地产-住宅开发
600549,17,600549.SH,有色金属-小金属-钨
603958,17,603958.SH,纺织服饰-服装家纺-鞋帽及其他
600988,17,600988.SH,有色金属-贵金属-贵金属Ⅲ
002022,33,002022.SZ,医药生物-医疗器械-体外诊断
002575,33,002575.SZ,综合-综合-综合Ⅲ
000751,33,000751.SZ,有色金属-工业金属-铅锌
000078,33,000078.SZ,医药生物-医药商业-医药流通
600791,17,600791.SH,房地产-房地产-住宅开发
600547,17,600547.SH,有色金属-贵金属-贵金属Ⅲ
000975,33,000975.SZ,有色金属-贵金属-贵金属Ⅲ
002506,33,002506.SZ,电力设备-光伏设备-光伏电池组件
601020,17,601020.SH,有色金属-工业金属-铅锌
600961,17,600961.SH,有色金属-工业金属-铅锌
000960,33,000960.SZ,有色金属-小金属-其他小金属
601390,17,601390.SH,建筑装饰-建筑装饰-基础建设
600487,17,600487.SH,通信-通信设备-通信线缆及配套
002731,33,002731.SZ,纺织服饰-服装家纺-饰品
002166,33,002166.SZ,基础化工-化学制品-食品及饲料添加剂
600301,17,600301.SH,有色金属-小金属-其他小金属
001280,33,001280.SZ,有色金属-小金属-其他小金属
000688,33,000688.SZ,有色金属-工业金属-铅锌
301111,33,301111.SZ,医药生物-中药-中药Ⅲ
688289,17,688289.SH,医药生物-医疗器械-体外诊断
000510,33,000510.SZ,基础化工-化学原料-氯碱
688717,17,688717.SH,电力设备-光伏设备-逆变器
300774,33,300774.SZ,环保-环境治理-水务及水治理
920088,151,920088.BJ,石油石化-油气开采及服务-油服工程
300102,33,300102.SZ,电子-光学光电子-LED
300118,33,300118.SZ,电力设备-光伏设备-光伏电池组件
603993,17,603993.SH,有色金属-工业金属-铜
000737,33,000737.SZ,有色金属-工业金属-铜
600219,17,600219.SH,有色金属-工业金属-铝
300383,33,300383.SZ,通信-通信服务-通信应用增值服务
000758,33,000758.SZ,有色金属-工业金属-铅锌
002865,33,002865.SZ,电力设备-光伏设备-光伏电池组件
300191,33,300191.SZ,石油石化-油气开采及服务-油气开采
002603,33,002603.SZ,医药生物-中药-中药Ⅲ
603050,17,603050.SH,电力设备-电网设备-电气自控设备
688399,17,688399.SH,医药生物-医疗器械-体外诊断
600490,17,600490.SH,有色金属-工业金属-铜
688258,17,688258.SH,计算机-IT服务-IT服务Ⅲ
002319,33,002319.SZ,基础化工-化学制品-涂料油墨
002950,33,002950.SZ,医药生物-医疗器械-医疗耗材
300601,33,300601.SZ,医药生物-生物制品-疫苗
605196,17,605196.SH,电力设备-电网设备-线缆部件及其他
301525,33,301525.SZ,机械设备-通用设备-制冷空调设备
