code,股票代码,market_code,涨停原因类别[20260810]
002193,002193.SZ,33,ST摘帽预期+精纺呢绒+外销
002739,002739.SZ,33,《欢迎来龙餐馆》+暑期档+IP潮玩+院线龙头
600316,600316.SH,17,教练机+C919+军工+央企
000506,000506.SZ,33,黄金+半年报预增+国企改革
002141,002141.SZ,33,覆铜板+拟布局PCB+动物保健
603038,603038.SH,17,智慧水务+饰面板+业绩预增
002622,002622.SZ,33,口腔医疗+医疗服务+半年报预计减亏
002112,002112.SZ,33,变压器+AI算力+国企改革
002783,002783.SZ,33,民爆+化肥+湖北国资
002580,002580.SZ,33,液冷储能+算力+固态电池+山东国资
603162,603162.SH,17,干散货航运+运力扩张+中报增长
001222,001222.SZ,33,宠物经济+海外业务+设立创投
605286,605286.SH,17,算电协同+储能+风电+电梯部件
600227,600227.SH,17,甲醇+尿素+煤化工+中报预计扭亏
002399,002399.SZ,33,创新药+依诺肝素制剂+集采中标
000859,000859.SZ,33,光刻胶+MLCC+聚酰亚胺+并购重组
002329,002329.SZ,33,乳业+新式茶饮+股权转让+种源突破
603711,603711.SH,17,软饮料+茶饮店+中报预计扭亏+出海
002900,002900.SZ,33,创新药+化学制药+中报预计减亏
603065,603065.SH,17,磷化铟衬底+光稳定剂+终止减持
605128,605128.SH,17,机器人+汽车整椅
003043,003043.SZ,33,半导体设备+精密金属结构件+可转债募投结项
000710,000710.SZ,33,AI医疗+三代测序+基因检测NIPT
601020,601020.SH,17,锑资源+黄金概念+有色金属采选+控制权变更
600327,600327.SH,17,医疗健康+百货零售+回购
603188,603188.SH,17,染料+资产处置+一季报增长+常州国资
002748,002748.SZ,33,中报预增+氯化亚砜+化工
603725,603725.SH,17,回购+机器人+电子皮肤+高分子饰面材料
002827,002827.SZ,33,控股股东拟变更+矿山投资开发+民爆+西藏国资
000428,000428.SZ,33,酒店+预制菜+大消费+国企改革
600192,600192.SH,17,输变电设备+核电+资产剥离+国企改革
600721,600721.SH,17,金华国资入主+CRO+创新药
000802,000802.SZ,33,《欢迎来龙餐馆》定档+影视全产业链+演艺演出
600664,600664.SH,17,创新药+集采拟中标+半年报预增
605162,605162.SH,17,热电联产+电网储能+员工持股
002388,002388.SZ,33,六氟磷酸锂+胶粘剂+AI服务器电源+增持
002345,002345.SZ,33,黄金+国际金价上涨+一季报增长
