code,market_code,涨停原因类别[20260722],股票代码
002575,33,算力租赁+腾讯合作+酒类销售,002575.SZ
002197,33,算力租赁+数据中心REITs+金融科技+中报扭亏,002197.SZ
300688,33,算力租赁+AI大模型+收购北京版信通,300688.SZ
603118,17,数据中心交换机+CPO+机器人+唐山国资,603118.SH
002793,33,创新药+P-CAB注射剂+中报预增,002793.SZ
000506,33,黄金+半年报预增+国企,000506.SZ
301583,33,半导体设备+精密零部件+次新股,301583.SZ
000975,33,黄金+半年报预增+山东国资,000975.SZ
600726,17,热电联产+煤炭+新能源转型+央企,600726.SH
603988,17,黄金+电机+风电+储能,603988.SH
002953,33,机器人电缆+数据中心线缆+新能源电缆,002953.SZ
603162,17,中报增长+干散货航运+运力扩张,603162.SH
605196,17,终止可转债+电解铝+线缆+油服装备,605196.SH
603407,17,氧化锆涨价+存储芯片材料+特种尼龙,603407.SH
603619,17,油气开采+中东布局+机器人概念,603619.SH
600722,17,甲醇+风电+河北国资,600722.SH
002900,33,医药+创新药+中报减亏,002900.SZ
600644,17,电力+天然气+新型储能,600644.SH
603803,17,算力交换机+光网络+半年报大幅减亏,603803.SH
301234,33,跨界半导体+电机控制芯片+医疗器械,301234.SZ
003001,33,,003001.SZ
000838,33,房地产+重整+ST板块,000838.SZ
603893,17,端侧AI+AIoT芯片+半年报预增,603893.SH
603725,17,机器人+电子皮肤+高分子饰面材料,603725.SH
605155,17,跨境电商+建筑节能+遮阳龙头,605155.SH
600396,17,绿色电力+火力发电+央企,600396.SH
600744,17,火电+新能源+定增获批+央企,600744.SH
603221,17,拟收购欧康诺+存储测试设备+PVC弹性地板,603221.SH
000566,33,创新药+肝纤维化+脑机接口+央企,000566.SZ
603580,17,控制权拟变更+轻型输送带+消费电子,603580.SH
605162,17,热电联产+弗迪电池供热+储能,605162.SH
002515,33,光通信芯片+特色肉制品+火腿,002515.SZ
300779,33,废塑料化学循环+固废处理+稀土永磁,300779.SZ
002213,33,半导体存储+定增获批+锂矿审批推进+中报预增,002213.SZ
920305,151,退市整理期投机+大数据存储+AI大模型,920305.BJ
600594,17,创新药+阿扎胞苷获批+抗肿瘤药,600594.SH
000839,33,AI应用+内容审核+数据标注+央企,000839.SZ
002879,33,回购+增持+液冷+电缆附件,002879.SZ
002412,33,中药+独家品种+中报预增,002412.SZ
603629,17,算力租赁+英伟达合作+中报预增,603629.SH
603296,17,超节点+AI算力+中报预增+回购增持,603296.SH
605028,17,热电联产+协议转让+扣非增长,605028.SH
001206,33,,001206.SZ
603398,22,,603398.SH
001258,33,风电光伏+定增获批+半年报预增+新疆国资,001258.SZ
001388,33,,001388.SZ
600403,17,煤炭+中报减亏+河南国资,600403.SH
001309,33,,001309.SZ
000595,33,控股股东增持+风光储+宁夏国资,000595.SZ
603683,17,,603683.SH
300834,33,回购+聚苯乙烯+粤港澳大湾区,300834.SZ
000603,33,白银+铅锌+黄金概念+中报预增,000603.SZ
000779,33,,000779.SZ
600176,17,,600176.SH
000815,33,算力租赁+东数西算+中国诚通旗下,000815.SZ
002545,33,钾肥+钢结构+中报预增,002545.SZ
603519,17,,603519.SH
