股票代码,code,涨停原因类别[20260507],market_code
002491.SZ,002491,光纤涨价+数据中心+通信电缆,33
002193.SZ,002193,,33
600207.SH,600207,光伏玻璃+拟控股弘诺+河南国资,17
603179.SH,603179,机器人+特斯拉链+汽车内饰,17
000818.SZ,000818,算力租赁+800G光模块+武汉国资+一季报净利增长,33
603101.SH,603101,,17
600053.SH,600053,,22
002816.SZ,002816,半导体设备+机器人线束+扭亏+国企,33
603256.SH,603256,电子布涨价+AI算力+80亿扩产,17
603359.SH,603359,,22
600726.SH,600726,绿电转型+热电联产+央企,17
601868.SH,601868,算电协同+氢能投产+央企储能,17
600265.SH,600265,算力租赁+资产赠与+林业,22
002501.SZ,002501,,33
002335.SZ,002335,液冷智算+算力租赁+储能PCS,33
603950.SH,603950,柴油动力单元+发动机零部件+重大资产重组,17
002008.SZ,002008,PCB设备+一季报高增+光纤激光器,33
600340.SH,600340,,22
600082.SH,600082,天津国资+工业地产+利空落地+ST板块,22
002496.SZ,002496,回购进展+功能肥+氨氢能源,33
600180.SH,600180,,22
300010.SZ,300010,,33
002253.SZ,002253,低空经济+军工射频+空管系统,33
600239.SH,600239,,22
603803.SH,603803,CPO+智算中心+一季报扭亏为盈,17
600302.SH,600302,,22
002990.SZ,002990,算力采购+人形机器人+智慧口岸,33
002591.SZ,002591,钠电材料+硅碳负极+AI算力+一季报增长,33
002342.SZ,002342,商业航天+深海系泊+索具龙头+年报扭亏,33
300352.SZ,300352,,33
000909.SZ,000909,,33
000609.SZ,000609,半导体资产注入+ST博弈+房地产,33
603316.SH,603316,存储芯片+业绩暴增+定增扩产,17
600719.SH,600719,热电联产+新能源注入预期+大连国资+业绩增长,17
002980.SZ,002980,光通信测试+拟收购伽蓝特+AI眼镜+仪器仪表,33
000703.SZ,000703,,33
603729.SH,603729,,22
002082.SZ,002082,,33
601208.SH,601208,高速树脂+AI服务器+商业航天+一季报大增,17
600381.SH,600381,申请摘帽+酒水高增+虫草龙头,22
002903.SZ,002903,机器人+工业母机+半导体,33
603828.SH,603828,控制权变更+光伏建筑一体化+装配化装修,22
000929.SZ,000929,申请撤销退市风险警示+啤酒饮料+果汁扩产,33
002620.SZ,002620,重整投资人+光伏建筑一体化+建筑装饰,33
002431.SZ,002431,,33
000632.SZ,000632,,33
