股票代码,code,market_code,涨停原因类别[20260519]
301379.SZ,301379,33,存储芯片+企业级SSD+液晶显示
300632.SZ,300632,33,光通信+机器人+光电集成封测
001259.SZ,001259,33,股份转让+小家电+露营经济
002055.SZ,002055,33,高速连接器+存储芯片
603082.SH,603082,17,人形机器人+智能物流+拟收购穗柯智能+央企
002831.SZ,002831,33,机器人+液冷服务器+环保包装
603380.SH,603380,17,机器人+AI服务器+PCB轴向电机+海外扩产
600165.SH,600165,22,摘帽预期+长链二元酸+重整完成
603823.SH,603823,17,PEEK材料+光刻胶颜料+有机颜料龙头
301176.SZ,301176,33,PCB+锂电铜箔+垂直产业链
600563.SH,600563,17,薄膜电容器+AI硬件+机器人+新能源
600053.SH,600053,22,人形机器人+六维力传感器+保壳预期
600835.SH,600835,17,人形机器人+电梯+精密减速器+上海国资
603359.SH,603359,22,签1.15亿合同+生态修复+ST反弹
603608.SH,603608,17,控制权变更+女鞋扭亏+抖音爆品
002150.SZ,002150,33,光伏逆变器+储能+北美市占率
002173.SZ,002173,33,脑机接口+民营医院+临床试验启动
600118.SH,600118,17,
002135.SZ,002135,33,光伏EPC+10亿投资+可控核聚变+装配式建筑
002226.SZ,002226,33,民爆+绿色电力+雅下水电+央企
688260.SH,688260,17,MLCC扩产+陶瓷热沉+消费电子
300608.SZ,300608,33,算力调度+东数西算+转债强赎
600340.SH,600340,22,增持+机器人+产业新城+预重整
002713.SZ,002713,33,算力中心+家装AI+摘帽申请
603115.SH,603115,17,AI服务器电极箔+全球市占率第一+业绩高增
600180.SH,600180,22,
600626.SH,600626,17,汽车内饰+声学元件+特斯拉概念+上海国资
600239.SH,600239,22,云南国资+康养转型+ST反弹
002123.SZ,002123,33,算力租赁+5G阅信+AI通信
600302.SH,600302,22,控制权变更+缝制设备+机器人概念+西安国资
002342.SZ,002342,33,
002067.SZ,002067,33,间接持股宇树科技+机器人概念+造纸
000909.SZ,000909,33,ST博弈+房地产+智慧交通+杭州国资
603333.SH,603333,17,氢氟酸+特种电缆+锂电池材料
000609.SZ,000609,33,半导体资产注入+房地产+ST博弈
603989.SH,603989,17,AI算力上游+AISHI产品+铝电解电容+新能源
