涨停原因类别[20260511],market_code,code,股票代码
合资投建+光纤涨价+数据中心+通信电缆,33,002491,002491.SZ
算力+高频覆铜板+消费电子+潍坊国资,33,002848,002848.SZ
,33,002193,002193.SZ
炭黑+固态电池+高压电缆屏蔽料+人形机器人,33,001207,001207.SZ
光模块陶瓷+SiC功率器件+央企,33,003031,003031.SZ
摘帽预期+功率半导体+吉林国资,22,600360,600360.SH
小家电+净水概念+一季报增长,33,001259,001259.SZ
水电高增+高股息+央企,17,600236,600236.SH
稀土涨价+业绩翻倍+央企整合,17,600259,600259.SH
存储芯片+半导体设备+业绩高增,17,688328,688328.SH
先进封装+半导体电镀液+PCB化学品,17,688603,688603.SH
半导体并购+集装箱地板+无锡国资,17,600076,600076.SH
ST板块+超跌反弹+人形机器人+六维力传感器,22,600053,600053.SH
,22,603359,603359.SH
东数西算二期+绿电装机+甘肃国资,33,000791,000791.SZ
储能中标+智能电网+一季报扭亏,22,600525,600525.SH
要约收购+七腾机器人+LNG运贸,33,001331,001331.SZ
军工+汽车铝型材+退市风险,33,002501,002501.SZ
机器人+特斯拉概念+通信结构件+新能源汽车,33,002547,002547.SZ
PCB设备+商业航天+3D打印,33,002008,002008.SZ
,17,603778,603778.SH
商业航天+军工电子+固态发射机,33,002977,002977.SZ
液冷泵+算力+储能+屏蔽泵龙头,17,603757,603757.SH
核电材料+耐火材料+央企,33,002066,002066.SZ
算力AI+光纤+商业航天+中标大单,17,600869,600869.SH
,22,600180,600180.SH
AI医疗+智慧药房+机器人,17,605186,605186.SH
MLCC离型膜+复合铜箔+聚酯薄膜,33,002585,002585.SZ
摘帽申请+通信工程+扭亏为盈,22,603559,603559.SH
江西中久拟入主+房地产+ST板块,33,000838,000838.SZ
四代核电+主氦风机+央企,33,000922,000922.SZ
玻纤设备+华为合作+纺织机械+减亏,17,600545,600545.SH
,33,000609,000609.SZ
甾体激素+原料药出口,17,600488,600488.SH
光纤概念+储能+工业互联网,17,688618,688618.SH
电子特气+真空灭弧室+氢能+储能+央企,17,600379,600379.SH
中硼硅药用玻璃+RTU投产+智能制造,33,301188,301188.SZ
珠海国资+储能+建筑装饰,33,002789,002789.SZ
中昊芯英入主+汽车管路+此前多次风险提示,17,605255,605255.SH
,33,002082,002082.SZ
六氟化钨+存储上游+电子特气+央企,17,688146,688146.SH
,33,002294,002294.SZ
跨境电商+母婴奶粉+一季报净利扭亏,33,002640,002640.SZ
算力租赁+抖音概念+建筑工程,17,600234,600234.SH
申请摘帽+酒水高增+虫草龙头,22,600381,600381.SH
华南基地+锂电池隔膜+广州国资,33,002108,002108.SZ
金钢瓷放量+竹基禾塑托盘+全竹产业链,33,001211,001211.SZ
控制权变更+光伏建筑一体化+装配化装修,22,603828,603828.SH
,33,002431,002431.SZ
人形机器人+PEEK材料+筒子纱龙头+业绩暴增,17,605189,605189.SH
,22,600818,600818.SH
ST反弹+国资背景+跨境电商,33,000632,000632.SZ
磷化工+新材料+业绩扭亏,17,600078,600078.SH
GPU大单+算力+数字水印,33,300449,300449.SZ
存储芯片+烟包高增+包装印刷,17,603499,603499.SH
存储芯片+2D NAND收购+业绩高增,17,688766,688766.SH
,22,600678,600678.SH
ST摘帽预期+汽车轻量化+光伏组件,33,002529,002529.SZ
机器人+煤矿装备+ST板块,33,002691,002691.SZ
PCB扩产+1.6T光模块+商业航天,17,603459,603459.SH
重大突破+金刚石散热+培育钻石+半导体,17,600172,600172.SH
空调+房地产+营收增长,17,600854,600854.SH
,33,002198,002198.SZ
半导体封装基板+创投+水泥,33,000672,000672.SZ
预重整协议+TOPCon电池+ST板块,22,600537,600537.SH
玻纤涨价+风电纱+山东国资,17,605006,605006.SH
参股券商+东莞证券IPO+算力租赁,33,000712,000712.SZ
半导体设备+碳化硅+光伏+年报扭亏,33,002943,002943.SZ
光伏玻璃+特斯拉+钙钛矿+阿联酋项目,33,002623,002623.SZ
电子特气+硅基新材料+国产替代,33,002971,002971.SZ
,33,002323,002323.SZ
ST投机+AI教育+国资背景,22,600730,600730.SH
存储芯片+电子化学品+国企,17,688545,688545.SH
全屋板式家具+定制家居+AI设计+海外扩张,33,300616,300616.SZ
ST板块+油气服务+新疆国资,33,002207,002207.SZ
存储芯片+AI智算+业绩暴增,33,300302,300302.SZ
,22,601718,601718.SH
拟收购+液冷+核电+氦气压缩机,33,000811,000811.SZ
盐湖提锂+氢能源+一季报大增,17,688350,688350.SH
武汉新城+供水+国企,17,600769,600769.SH
庭外重组+算力+市政基建,33,000010,000010.SZ
交换机+CPO+算力+福建国资,33,002396,002396.SZ
摘星复牌+生物医药+地方国资,33,002168,002168.SZ
液冷+机器人+新能源,33,002334,002334.SZ
,22,603922,603922.SH
PCB铜箔+黄金采选+Q1业绩大增,33,002552,002552.SZ
低轨卫星+安全芯片+央企,17,600198,600198.SH
控制权变更+扭亏+男装品牌+宝鸡国资,33,002569,002569.SZ
AI服务器电源+功率半导体测试+氢能测试系统,17,688551,688551.SH
,22,600759,600759.SH
液冷服务器+核电冷却塔+订单高增,17,603269,603269.SH
保健品+宠物新品+益生菌+养老护理,17,600530,600530.SH
车载照明+车灯控制器+汽车电子,17,603303,603303.SH
,33,000677,000677.SZ
800G光模块+AI算力+AMB陶瓷衬板,17,603936,603936.SH
服务器滑轨+算力+专精特新,151,920699,920699.BJ
铟靶材+一季度扭亏+摘帽预期,33,000711,000711.SZ
房地产+深圳国资+新房成交激增,33,000029,000029.SZ
多肽出口+申请撤销退市风险警示+扭亏为盈,33,002693,002693.SZ
,33,002726,002726.SZ
PCB+光模块+AI扩建+珠海国资,17,600601,600601.SH
AI应用+数字孪生+低空经济,22,603189,603189.SH
,22,600370,600370.SH
机器人+减速器+伺服系统+一季报增长,17,603275,603275.SH
挖掘机涨价+新能源+矿山机械+国企改革,33,000425,000425.SZ
商业航天+氦气扩产+清洁能源+回购注销,17,605090,605090.SH
,22,600491,600491.SH
存储芯片测试+半导体设备+国产替代+业绩大增,33,300604,300604.SZ
维生素E+回购注销+国企,33,002102,002102.SZ
光纤+CPO+军工装备+央企,17,600184,600184.SH
建筑陶瓷+数据中心+股份注销,33,002918,002918.SZ
摘帽申请+一季报暴增+IDC并表+算力租赁,33,002289,002289.SZ
口腔连锁+IVD+ST板块,22,603718,603718.SH
创新药+CDMO+绿色工艺,33,000739,000739.SZ
玻璃基板+CPO+MicroLED+商业航天,17,603773,603773.SH
,33,002581,002581.SZ
*ST+墙布+流通盘小+回购,22,603272,603272.SH
