股票代码,涨停原因类别[20260724],market_code,code
603779.SH,,17,603779
002197.SZ,,33,002197
688622.SH,量子计算+拟收购量羲技术+质谱仪+ST板块,22,688622
603567.SH,,17,603567
301583.SZ,半导体设备+精密零部件+次新股,33,301583
300045.SZ,,33,300045
002211.SZ,拟易主+定增募资+有机硅,33,002211
000539.SZ,,33,000539
600617.SH,天然气+生物质能+山西国资,17,600617
600726.SH,,17,600726
300414.SZ,AI服务器上游+一体成型电感+防雷+一季报增长,33,300414
000011.SZ,房地产+物业管理+深圳国资,33,000011
001229.SZ,AI视觉+边缘计算+光纤KVMS+商业航天,33,001229
601606.SH,军工+弹药装备+兵装重组+央企,17,601606
002440.SZ,,33,002440
002083.SZ,电解液添加剂VC涨价+收购硅碳负极+中报预增+山东国资,33,002083
688237.SH,控制权变更+军工装备+冷喷涂增材制造,17,688237
000670.SZ,存储芯片+电子元器件分销+重大资产重组,33,000670
600644.SH,,17,600644
002300.SZ,海缆+电网设备+特高压+数据中心,33,002300
000593.SZ,,33,000593
301234.SZ,跨界并购+电机控制芯片+医疗器械出口,33,301234
600178.SH,兵装重组+增程器+小米汽车+央企,17,600178
003001.SZ,拟收购PCB刀具+可控核聚变+核电,33,003001
000037.SZ,,33,000037
000668.SZ,跨境物流+房地产去化+摘帽+股权激励,33,000668
600396.SH,,17,600396
002298.SZ,算力上游+智能输配电设备+智慧用能+半年报预增,33,002298
605198.SH,浓缩果汁+拟跨界收购+覆铜板,17,605198
603221.SH,拟收购欧康诺+存储测试设备+PVC弹性地板,17,603221
000722.SZ,,33,000722
600578.SH,,17,600578
002189.SZ,兵装重组+汽车光电+AI眼镜+央企,33,002189
600536.SH,,17,600536
603068.SH,AIoT芯片+端侧AI+中报预增,17,603068
002015.SZ,,33,002015
600664.SH,,17,600664
603580.SH,控制权拟变更+轻型输送带+消费电子,17,603580
603976.SH,可转债赎回+药用玻璃包装+医美包装+股权转让,17,603976
002388.SZ,锂电材料+华为产业链+胶粘剂+增持,33,002388
600539.SH,并购重组上会+机器视觉+半导体先进封装,17,600539
920305.BJ,,151,920305
002879.SZ,回购+增持+液冷+电缆附件,33,002879
002208.SZ,间接投资长鑫科技+房地产+合肥国资,33,002208
002303.SZ,消费电子包装+包装一体化+海外产能释放,33,002303
603629.SH,,17,603629
603726.SH,间接投资长鑫科技+人形机器人+空调风叶龙头+半年报预增,17,603726
600821.SH,,17,600821
002374.SZ,债务重组+化债预期+防伪瓶盖,33,002374
002265.SZ,兵装重组+军工装备+机器人概念+国企,33,002265
000533.SZ,数据中心+干式变压器+电网设备+控制权变更预期,33,000533
600984.SH,煤矿智能装备+陕西国资+一带一路,17,600984
001206.SZ,,33,001206
002012.SZ,造纸涨价+特种纸+海外业务增长,33,002012
001388.SZ,,33,001388
600403.SH,,17,600403
002498.SZ,新型电网+海上风电+超高压海缆+一季报增长,33,002498
603690.SH,半导体设备+存储芯片+专精特新,17,603690
000417.SZ,间接投资长鑫科技+百货零售+合肥国资,33,000417
603956.SH,液冷泵+六张网建设+智慧水务,17,603956
000595.SZ,控股股东增持+绿色电力+风光储+宁夏国资,33,000595
300480.SZ,半导体划片机+先进封装+产能满产,33,300480
600698.SH,兵装重组+涡轮增压器+电子水泵+国企,17,600698
002199.SZ,摘帽复牌+碳酸锂+石英晶体元器件,33,002199
001896.SZ,,33,001896
001202.SZ,,33,001202
601991.SH,,17,601991
